subscriber_id,signup_date,plan,country,acquisition_channel,primary_device,age_group,preferred_genre,lifecycle_stage,churn_date,monthly_spend_usd,nps_score,is_bundled,has_showtime_add_on,Segment
SUB00001,6/6/22,Paramount+ with Showtime,UK,Partner Bundle,Desktop,35-44,Animation,Churned,9/9/22,$11.99,,FALSE,TRUE,Standard
SUB00002,2/3/23,Essential,AU,App Store,Mobile,55,Drama,Reactivated,,$5.99,,FALSE,FALSE,Standard
SUB00003,5/23/24,Annual,US,App Store,Smart TV,35-44,Drama,Reactivated,,$9.99,1,FALSE,FALSE,Standard
SUB00004,12/11/22,Essential,MX,Paid Social,Roku,35-44,Drama,At-Risk,,$5.99,,FALSE,FALSE,Flag
SUB00005,8/30/23,Essential,AU,Paid Social,Desktop,18-24,Drama,At-Risk,,$5.99,,FALSE,FALSE,Flag
SUB00006,12/2/22,Paramount+ with Showtime,AU,Email Campaign,Desktop,35-44,Drama,Active,,$11.99,8,TRUE,TRUE,High Value
SUB00007,2/7/24,Essential,US,TV Ad,Fire TV,35-44,Drama,Active,,$5.99,4,TRUE,FALSE,Standard
SUB00008,5/9/24,Essential,US,App Store,Fire TV,25-34,Drama,New,,$5.99,4,FALSE,FALSE,Standard
SUB00009,12/18/23,Essential,US,TV Ad,Smart TV,35-44,Thriller,Active,,$5.99,,TRUE,FALSE,Standard
SUB00010,11/16/22,Paramount+ with Showtime,US,Organic Search,Roku,35-44,Drama,At-Risk,,$11.99,4,TRUE,TRUE,Flag
SUB00011,12/15/23,Annual,US,Email Campaign,Roku,25-34,Animation,Churned,6/15/24,$9.99,2,FALSE,FALSE,Standard
SUB00012,1/13/22,Essential,AU,Email Campaign,Fire TV,45-54,Drama,Churned,6/3/24,$5.99,3,FALSE,FALSE,Standard
SUB00013,6/30/22,Annual,MX,App Store,Desktop,35-44,Drama,Churned,5/26/24,$9.99,5,FALSE,FALSE,Standard
SUB00014,5/22/24,Paramount+ with Showtime,MX,Paid Social,Desktop,18-24,SciFi,Active,,$11.99,7,FALSE,TRUE,High Value
SUB00015,1/30/22,Essential,MX,Paid Social,Tablet,35-44,Procedural,Active,,$5.99,,FALSE,FALSE,Standard
SUB00016,6/20/24,Annual,US,Partner Bundle,Smart TV,35-44,Procedural,At-Risk,,$9.99,,FALSE,FALSE,Flag
SUB00017,5/16/23,Paramount+ with Showtime,MX,App Store,Mobile,25-34,Procedural,At-Risk,,$11.99,,FALSE,TRUE,Flag
SUB00018,12/10/23,Annual,UK,App Store,Roku,55,Drama,Active,,$9.99,,FALSE,FALSE,Standard
SUB00019,12/27/22,Paramount+ with Showtime,US,Organic Search,Fire TV,35-44,Drama,Churned,10/30/23,$11.99,,TRUE,TRUE,Standard
SUB00020,7/16/22,Paramount+ with Showtime,CA,Organic Search,Smart TV,45-54,Thriller,Active,,$11.99,,TRUE,TRUE,High Value
SUB00021,11/6/22,Essential,CA,Organic Search,Mobile,45-54,Drama,New,,$5.99,,TRUE,FALSE,Standard
